country_code,region,year,gdp_per_capita,population,bank_capital_assets_ratio,domestic_credit_private_gdp,exports_gdp,fdi_net_inflows_gdp,gdp_growth_annual,gdp_per_capita_constant,gdp_per_capita_growth,gdp_ppp_constant,government_debt_gdp,government_expenditure_gdp,gross_investment_gdp,gross_savings_gdp,imports_gdp,internet_users_pct,market_cap_gdp,patent_applications_residents,population_growth,private_investment_gdp,real_interest_rate,research_development_gdp,tariff_rate_applied_weighted,tax_revenue_gdp,tertiary_education_enrollment,trade_gdp,unemployment_total,urban_population_pct,country_name
CHL,Latin America,2022,22740.72142369102,19715.21,7.34074861268968,132.512191262731,35.515107072528,6.03627962411555,2.05874008095333,14272.2709917484,1.55399573929161,577981020950.642,,24.0545547307517,25.5883785104755,16.8370044359832,39.4726731414487,93.5,94.4112197756343,,0.495789591494285,,,,0.46,21.2736151328078,99.3372802734375,74.9877802139767,8.249,87.912,Chile
CHL,,2023,,,,130.092393849766,31.1367365250198,6.47859210208402,0.218780666901552,14226.5180749128,-0.320572085984224,579245531682.843,,24.5784667401599,22.9537913250417,19.3381989902957,29.8303574695752,94.5,,,0.53962870957127,,,,,17.7185943290551,,60.967093994595,9.013,88.012,Chile
CHN,East Asia,1990,2982.0,1135185.0,,,13.614710169642,0.966308310992784,3.9202513677681,905.032457182312,2.4065585719982,1868036533802.2,,,34.157848854484,36.6941897562451,10.6584219385921,0.0,,5832.0,1.46730321087928,,3.45164466688578,,,,3.00149011611938,24.2731321082342,,26.442,China
CHN,East Asia,1991,3051.3151251535655,1149978.85,,,14.4878781448342,1.13883773180262,9.26278608516616,975.462915554045,7.78209199159643,2041068761921.05,,,35.2363600512445,38.5011697355996,11.4618459582464,,,7372.0,1.36443400840349,,1.80431185515043,,,,2.88530993461609,25.9497241030806,2.37,27.312,China
CHN,East Asia,1992,3227.744141541462,1163362.82,,,15.6582196753392,2.61316219284371,14.2245295924965,1100.64611588261,12.8332095800347,2331401191963.71,,,39.0718680056364,40.6055526260245,14.4874967782585,,,10022.0,1.2255362283362,28.2788751726547,0.415635119490241,,32.17,,2.8197500705719,30.1457164535977,2.37,28.2,China
CHN,East Asia,1993,3506.48009477448,1176726.93,,,16.7022945502994,6.18688207614214,13.8837293017729,1239.1293732409,12.581996643602,2655086622394.26,,,43.2831497569643,41.7072346173534,19.3537833179487,0.000169,,12084.0,1.14961943083465,34.5164343582882,-3.65137209056029,,30.29,,2.93639993667603,36.0560778682481,2.69,29.103,China
CHN,East Asia,1994,3730.164094416436,1189961.97,,,18.536841051673,5.98718616500824,13.0368066326745,1384.93015732283,11.7663891463239,3001225131285.81,,,40.0502854739137,41.6967268900465,17.2331523968491,0.00117,,11191.0,1.13026063215591,31.812559389413,-7.98974415365733,,27.93,,3.77981996536255,35.7699934485221,2.9,30.024,China
CHN,East Asia,1995,3999.729180990004,1202581.43,,,17.9525593720078,4.88086319996149,10.9539543419,1520.02946941719,9.75495488924255,3329977961864.49,,,38.8377197998557,39.5300997333568,16.3244794663664,0.00495,,10011.0,1.08650915088974,29.9353899245073,-1.41264818766741,,,,4.67359018325806,34.2770388383742,3.0,30.961,China
CHN,East Asia,1996,4219.644172416151,1215171.1,,,17.9232416590318,4.65181266315599,9.92255675282291,1653.43378890759,8.77642981103237,3660396914986.99,,,37.5417204673365,38.7591241882985,15.8914021302523,0.0131,,11628.0,1.04814151412165,29.2549656935919,3.35497047299623,0.563239991664886,19.76,,5.29578018188477,33.8146437892841,3.12,31.916,China
CHN,East Asia,1997,4310.828198416168,1227452.97,,,19.4932044346528,4.72534384272724,9.23677989187537,1787.76697702905,8.12449757726388,3998499721193.33,,,35.5229456528019,39.7422421819753,15.0398837413974,0.0324,,12672.0,1.02345002419879,28.3074942274725,6.91169889407248,0.638729989528656,15.82,,5.82305002212524,34.5330881760502,3.23,32.883,China
