country_code,region,year,gdp_per_capita,population,bank_capital_assets_ratio,domestic_credit_private_gdp,exports_gdp,fdi_net_inflows_gdp,gdp_growth_annual,gdp_per_capita_constant,gdp_per_capita_growth,gdp_ppp_constant,government_debt_gdp,government_expenditure_gdp,gross_investment_gdp,gross_savings_gdp,imports_gdp,internet_users_pct,market_cap_gdp,patent_applications_residents,population_growth,private_investment_gdp,real_interest_rate,research_development_gdp,tariff_rate_applied_weighted,tax_revenue_gdp,tertiary_education_enrollment,trade_gdp,unemployment_total,urban_population_pct,country_name,trade_balance,trade_openness,export_intensity,financial_development_index,innovation_capacity_index,fiscal_balance,fiscal_capacity,savings_investment_gap,gdp_per_capita_growth_volatility_3y,gdp_per_capita_growth_volatility_5y,gdp_per_capita_relative,gdp_per_capita_trend_5y,total_shocks_experienced,avg_max_drawdown,avg_recovery_time,avg_recovery_strength,historical_resilience_score,historical_vulnerability_score,growth_stability_target,economic_performance_target,relative_development_target,investment_efficiency_target,composite_resilience_target,gdp_growth_annual_stability_3y,gdp_per_capita_growth_stability_3y,pre_shock_vulnerability,gdp_per_capita_momentum,gdp_growth_annual_momentum,gdp_per_capita_acceleration,trade_gdp_trend_5y,trade_gdp_acceleration,gross_investment_gdp_trend_5y,gross_investment_gdp_acceleration,gross_investment_gdp_lag1,gross_investment_gdp_lag2,unemployment_total_lag1,unemployment_total_lag2,convergence_gap,convergence_speed,years_to_next_shock,years_since_last_shock,decade,post_cold_war,globalization_era,post_2008_crisis,post_covid
BEL,Western Europe,2003,34588.476021026705,10377.36,,,69.0365085088844,10.8648744877519,1.03795528497115,36826.2699200097,0.615852630187064,537605054541.573,102.199608448661,42.5564419939957,20.9647077064668,26.2242285590273,63.679044325004,50.0,54.5621354353657,519.0,0.418641508069053,,,1.8411899805069,2.52,25.0766180109402,59.6124610900879,132.715552833888,7.68,97.296,Belgium,5.357464183880396,1.32715552833888,0.5201840103495119,0.2148693232946183,-0.013306856435943391,-17.479823983055496,33.81653000246795,5.259520852560499,0.3348796465853282,1.3973262833889435,1.2680098165526643,473.35269559143694,5,-0.009562301702493529,1.0,0.0,0.9547811508512467,0.04521884914875329,4.1028678077894245,0.4590643274853801,1.2680098165526643,0.1383107540318746,0.3542930972663827,0.2337319569744529,0.30950451238158105,0.0,665.1339762759817,-0.0616483031942201,-249.60411956616224,0.8946139006925082,-2.8212764010271054,-0.6484167547935301,-0.32264670249306154,20.7474019774138,22.6338254993949,6.91,6.178,1.1940055768498934,-0.007226338006158128,5.0,1.0,2000,1,1,0,0
BEL,Western Europe,2004,35740.35246260941,10422.37,,,70.906277447218,12.0521106747569,3.57120680780272,37976.697319251,3.12393137219733,556804042848.454,98.0987970607766,40.8989362902799,22.6670601715452,27.1943475754274,66.0121279012141,53.9,74.0077279672413,514.0,0.432788248129175,,,1.82050001621246,2.24,25.5379612606576,62.0411491394043,136.918405348432,7.363,97.35,Belgium,4.894149546003902,1.36918405348432,0.5178725041879845,0.3985692108913533,0.03372529669193835,-15.360975029622299,33.21844877546875,4.527287403882202,1.3037947264211855,1.3525582089242432,1.26619316727956,470.6299224386451,5,-0.009562301702493529,1.0,0.0,0.9547811508512467,0.04521884914875329,1.9352889093534775,0.5560428849902533,1.26619316727956,0.23539919058054187,0.4256827978450192,0.5067187158293953,0.6359563789912778,0.0,1320.658710754753,1.8643127012241199,-2.722773152791831,-1.7484746437934886,-2.643088544485997,-0.39009200542582795,0.25832474936770217,20.9647077064668,20.7474019774138,7.68,6.91,1.2012319148560515,-0.01926915835765075,4.0,2.0,2000,1,1,0,0
BEL,Western Europe,2005,36338.38311504945,10480.38,7.86185860774988,,74.2828289213953,8.72717720186463,2.32173796432642,38645.2605555367,1.76045649958832,569731573698.171,96.7545771933543,43.5309136698259,23.6810632000764,27.3168221709726,70.2462217485879,55.8,74.7912935279234,517.0,0.550055708089009,,,1.79060995578766,2.46,25.4713299290151,62.8203315734863,144.529050669983,8.44,97.403,Belgium,4.0366071728074076,1.44529050669983,0.5139646913686051,0.261942693968007,0.04750585436973313,-18.0595837408108,34.5011217994205,3.635758970896198,1.2556300358922259,1.0132885038530897,1.2592673737683528,615.0740851352214,5,-0.009562301702493529,1.0,0.0,0.9547811508512467,0.04521884914875329,2.1942819078417775,0.4824561403508772,1.2592673737683528,0.17510339523432855,0.3548774866787601,0.44572995722485204,0.5561517428674854,0.0,1749.9070940227466,1.2837826793552702,144.44416269657626,1.073767753107924,2.8222423969014123,0.4014133595494435,0.7915053649752715,22.6670601715452,20.9647077064668,7.363,7.68,1.2205010732137023,-0.020017026653646575,3.0,3.0,2000,1,1,0,0
BEL,Western Europe,2006,37051.902245853424,10549.39,3.04175824268251,,76.8049970552189,14.4078713936676,2.55234067848964,39371.0857898642,1.87817399570736,584273064411.868,89.3755663540236,40.5934156846885,23.9705491132595,27.8480009657266,72.7625122442923,62.0,97.0381826331265,490.0,0.659558214980699,,,1.8226900100708,2.3,25.2877504793919,63.3717384338379,149.567509299511,8.246,97.454,Belgium,4.042484810926609,1.49567509299511,0.5135139136496273,0.656688198391789,0.10046213201491447,-15.305665205296602,32.9405830820402,3.8774518524671002,0.7555166640791647,0.9267773536173648,1.2493241340722503,701.4324082020356,5,-0.009562301702493529,1.0,0.0,0.9547811508512467,0.04521884914875329,4.9465194593112605,0.5175438596491229,1.2493241340722503,0.18230839289282277,0.4284662570058568,0.19216235036084084,0.27244953454457216,0.0,1311.549783244016,-1.0188661293130798,86.35832306681425,3.8778217458954964,2.8040539927875727,0.9162649765301022,0.5148516169806587,23.6810632000764,22.6670601715452,8.44,7.363,1.2405180998673488,0.021956344276010453,2.0,4.0,2000,1,1,0,0
BEL,Western Europe,2007,38082.87333574846,10627.4,4.29750948210309,,78.3018047028263,20.5026740062328,3.67692483892523,40520.0843652615,2.91838173204022,605756345844.378,83.4782314885846,40.2935344941736,24.6032741505197,28.7795848698255,74.1666421724765,66.8,81.8719049070703,454.0,0.734330830765919,,,1.84999001026154,2.24,24.7885375338784,62.461841583252,152.468446875303,7.459,97.505,Belgium,4.1351625303498025,1.5246844687530299,0.5135607157254366,0.8132248101590234,0.12293288755414228,-15.504996960295198,32.541036014026,4.1763107193058,0.6372702707078118,1.0095934503589539,1.2384470618721042,830.0344412687544,5,-0.009562301702493529,1.0,0.0,0.9547811508512467,0.04521884914875329,4.60880244693802,0.5350877192982456,1.2384470618721042,0.22172651847381006,0.4611568658995848,0.2069761042078027,0.23697951933372752,0.75,1744.4902206990082,1.3551868745988096,128.60203306671883,5.215489203390888,1.3376674574953915,0.8580621829820141,-0.058202793548088105,23.9705491132595,23.6810632000764,8.246,8.44,1.2185617555913384,0.004882718067905856,1.0,5.0,2000,1,1,0,0
BEL,Western Europe,2008,38117.34841552228,10711.41,3.88353933355231,,80.8806199752035,36.8029204549977,0.446904947717528,40380.9074712395,-0.343476318477883,608463500925.069,91.3008843889572,42.1013518104548,25.9367703303917,27.4273411880211,80.2078278152436,68.9,32.323460470183,575.0,0.789976845480149,,,1.93684005737305,1.72,25.2541698756848,62.7642097473145,161.088447790447,6.976,97.555,Belgium,0.6727921599598972,1.61088447790447,0.5020882694233767,1.1704063943134229,0.19804229940793405,-16.847181934770003,33.6777608430698,1.4905708576294003,1.6662072797712313,1.3768588102632537,1.238332880464121,649.8482126524761,5,-0.009562301702493529,1.0,0.0,0.9547811508512467,0.04521884914875329,1.6423204582464468,0.5614035087719298,1.238332880464121,0.09083883916687596,0.29801326332462535,0.5988945643822333,0.9103915564625599,0.0,1065.4461696688595,-2.105435730772112,-180.1862286162783,5.627948108935005,0.412458905544117,0.7461631268136287,-0.11189905616838536,24.6032741505197,23.9705491132595,7.459,8.246,1.2136790375234325,-0.015881248513003987,2.0,6.0,2000,1,1,0,0
BEL,Western Europe,2009,36998.64926229877,10797.42,4.52617221123913,,68.5960770690546,15.948905674901,-1.90644089375826,39293.6375830961,-2.69253455712396,596863503919.84,95.5948036312706,44.2375786842218,22.0264057475968,24.2826299570446,66.5423286532355,74.5,53.5589278420989,669.0,0.804599572619861,,,1.99860000610352,1.85,23.6951482292977,64.9798431396484,135.13840572229,7.908,97.603,Belgium,2.0537484158191006,1.3513840572229001,0.5075986852325299,0.4251129472579258,0.30061729109367086,-20.5424304549241,33.96636345675975,2.2562242094477973,2.817805711136732,2.2378519163407242,1.2090935626458974,238.59784641675256,5,-0.009562301702493529,1.0,0.0,0.9547811508512467,0.04521884914875329,0.326242206346045,0.6666666666666666,1.2090935626458974,0.004063122454597784,0.23230089056059947,3.0552073231116528,46.75354757242894,0.75,-1084.2240734496881,-5.58336573268349,-411.2503662357236,-0.7260351404449954,-6.353983249380001,-0.13430936878269897,-0.8804724955963277,25.9367703303917,24.6032741505197,6.976,7.459,1.2295602860364365,0.0009726554029123591,1.0,7.0,2000,1,1,1,0
BEL,Western Europe,2010,37739.327492898185,10897.43,5.02588260701211,,75.8282898692443,26.0596407490289,2.71031141346458,39991.5646228587,1.77618332811934,613040363589.385,93.1802046517235,43.5672983109901,22.3942744569467,24.3820400904232,74.3342737521831,77.6,55.8036882326585,620.0,0.913639391631709,,,2.06188011169434,2.13,24.4613514281372,66.8578872680664,150.162563621427,8.293,97.651,Belgium,1.4940161170612072,1.5016256362142701,0.5049746623959755,0.872228651164348,0.35282936947993454,-19.105946882852898,34.01432486956365,1.9877656334764993,2.2353400622670754,2.2397179390267055,1.1957230164738633,29.06264206398641,5,-0.009562301702493529,1.0,0.0,0.9547811508512467,0.04521884914875329,0.2259856039085424,0.48245614035087714,1.1957230164738633,0.20134462481976648,0.3374394593551002,4.415060635299165,4.245096613762459,0.0,-378.0209226240986,2.263406465747052,-209.53520435276616,-1.6139932509180976,-0.8879581104731022,-0.5729417715548496,-0.43863240277215065,22.0264057475968,25.9367703303917,7.908,6.976,1.2285876306335242,-0.003648607597836362,10.0,8.0,2010,1,1,1,0
BEL,Western Europe,2011,38130.0,11039.45,4.9211814488282,,80.2713643518839,31.03668843113,1.93115497859051,40236.9596151297,0.613616882922983,624879123091.61,94.869878328893,44.5122501817844,24.4795580355563,22.6227585513132,80.494152536242,81.6,43.4981615330493,636.0,1.3010029017038,,,2.17332005500793,1.59,24.7537791878132,67.7034072875977,160.765516888126,7.14,97.698,Belgium,-0.22278818435809455,1.60765516888126,0.49930710208050016,1.0005998898863289,0.42773654877838285,-19.7584709939712,34.6330146847988,-1.8567994842430977,2.318463486230853,2.143797499688686,1.1979829398180875,-28.376759412098757,5,-0.009562301702493529,1.0,0.0,0.9547811508512467,0.04521884914875329,0.45466465083133756,0.47368421052631576,1.1979829398180875,0.15428662353972739,0.29893657345396124,2.189423241220836,17.067827819453406,0.0,1131.3507377012284,3.83759587234877,-57.439401476085166,0.5668255856626145,2.180818836580712,-0.3789928103371793,0.1939489612176703,22.3942744569467,22.0264057475968,8.293,7.908,1.2322362382313605,-0.002618077642654759,9.0,1.0,2010,1,1,1,0
BEL,Western Europe,2012,38173.23391642716,11108.46,5.33174062036665,,80.0489721342421,2.36956900950956,0.215803673220449,40074.4928091814,-0.403775055327898,626227635192.43,103.556484643172,45.704833465615,23.5882360674433,23.8234148499025,80.3343292908166,80.7,60.0940023133312,755.0,0.620163579337378,,,2.28114008903503,1.46,25.7069678443471,69.7490615844727,160.383301425059,7.542,97.744,Belgium,-0.28535715657449146,1.6038330142505899,0.49911039006542673,-0.11007275558830006,0.498872546645968,-19.997865621267902,35.70590065498105,0.23517878245919732,1.0907845532059535,1.6463301240691823,1.2049641811913994,124.312173951099,5,-0.009562301702493529,1.0,0.0,0.9547811508512467,0.04521884914875329,1.5393432691871882,0.456140350877193,1.2049641811913994,0.09011641449767688,0.26022282814337294,0.6396276821530684,1.325313608855976,0.0,433.90642352897703,-2.494507740244131,152.68893336319775,2.421681843506015,1.8548562578434002,-0.2243916237937275,0.15460118654345179,24.4795580355563,22.3942744569467,7.14,8.293,1.2348543158740153,-0.01052177290125611,8.0,2.0,2010,1,1,1,0
